Type,Mention Text,Confidence
grand_total,"3,357.52",1.0
billing_period,"Apr 1 Apr 30, 2024",1.0
line_item_cost,177.91,1.0
line_item_cost,40.32,1.0
line_item_cost,31.28,1.0
line_item_cost,16.11,1.0
line_item_cost,105.26,1.0
line_item_cost,130.65,1.0
line_item_cost,234.69,1.0
line_item_cost,0.95,1.0
line_item_cost,141.91,1.0
line_item_cost,6.67,1.0
line_item,$0.056 per GB Data Processed by NAT Gateways,1.0
line_item,$0.056 per NAT Gateway Hour,1.0
line_item,$0.0124 per On Demand Linux t2.micro Instance Hour,1.0
line_item,$0.0224 per On Demand Linux t3.small Instance Hour,1.0
line_item,$0.0248 per On Demand Linux t2.small Instance Hour,1.0
line_item,$0.0448 per On Demand Linux t3.medium Instance Hour,1.0
line_item,$0.0496 per On Demand Linux t2.medium Instance Hour,1.0
line_item,$0.1792 per On Demand Linux t3.xlarge Instance Hour,1.0
line_item,$0.1971 per On Demand Linux t3a.2xlarge Instance Hour,1.0
line_item,$0.202 per On Demand Linux m5.xlarge Instance Hour,1.0
service_provider,Amazon Web Services India Private Limited,1.0
line_item_usage,"3,176.994 GB",1.0
line_item_usage,720 Hrs,1.0
line_item_usage,"2,522.426 Hrs",1.0
line_item_usage,719.261 Hrs,1.0
line_item_usage,"4,244.403 Hrs",1.0
line_item_usage,"2,916.228 Hrs",1.0
line_item_usage,"4,731.566 Hrs",1.0
line_item_usage,5.322 Hrs,1.0
line_item_usage,720 Hrs,1.0
line_item_usage,33 Hrs,1.0
line_item,$0.05 per vCPU-Hour of T3 CPU Credits,1.0
line_item,$0.00 for 695 Mbps per t3a.2xlarge instance-hour (or partial hour),1.0
line_item,$0.00 for 850 Mbps per m5.xlarge instance-hour (or partial hour),1.0
line_item,$0.05 per GB-Month of snapshot data stored - Asia Pacific (Mumbai),1.0
line_item,$0.0912 per GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Mumbai),1.0
line_item,$0.114 per GB-month of General Purpose SSD (gp2) provisioned storage - Asia Pacific (Mumbai),1.0
line_item,$0.40 per million Amazon SQS standard requests in Tier1 in Asia Pacific (Mumbai),1.0
line_item,"First 1,000,000 Amazon SQS Requests per month are free",1.0
line_item,$0.10 per GB-month of data storage,1.0
line_item,Amazon EKS cluster usage in Asia Pacific (Mumbai),1.0
